0|-30|0|0.3
0.01|-29.7|-0.3|0.297
0.02|-29.103|-0.597|0.29103
0.03|-28.215|-0.88803|0.28215
0.04|-27.0448|-1.17018|0.270448
0.05|-25.6042|-1.44063|0.256042
0.06|-23.9075|-1.69667|0.239075
0.07|-21.9717|-1.93574|0.219717
0.08|-19.8163|-2.15546|0.198163
0.09|-17.4627|-2.35362|0.174627
0.1|-14.9344|-2.52825|0.149344
0.11|-12.2568|-2.6776|0.122568
0.12|-9.45665|-2.80016|0.0945665
0.13|-6.56192|-2.89473|0.0656192
0.14|-3.60157|-2.96035|0.0360157
0.15|-0.605209|-2.99636|0.00605209
0.16|2.39721|-3.00242|-0.0239721
0.17|5.37565|-2.97844|-0.0537565
0.18|8.30034|-2.92469|-0.0830034
0.19|11.142|-2.84169|-0.11142
0.2|13.8723|-2.73026|-0.138723
0.21|16.4638|-2.59154|-0.164638
0.22|18.8907|-2.4269|-0.188907
0.23|21.1287|-2.238|-0.211287
0.24|23.1554|-2.02671|-0.231554
0.25|24.9506|-1.79515|-0.249506
0.26|26.4962|-1.54565|-0.264962
0.27|27.7769|-1.28069|-0.277769
0.28|28.7798|-1.00292|-0.287798
0.29|29.495|-0.715118|-0.29495
0.3|29.9151|-0.420169|-0.299151
0.31|30.0362|-0.121017|-0.300362
0.32|29.8568|0.179344|-0.298568
0.33|29.3789|0.477912|-0.293789
0.34|28.6072|0.771701|-0.286072
0.35|27.5494|1.05777|-0.275494
0.36|26.2162|1.33327|-0.262162
0.37|24.6207|1.59543|-0.246207
0.38|22.7791|1.84164|-0.227791
0.39|20.7097|2.06943|-0.207097
0.4|18.4331|2.27652|-0.184331
0.41|15.9723|2.46086|-0.159723
0.42|13.3517|2.62058|-0.133517
0.43|10.5976|2.75409|-0.105976
0.44|7.73754|2.86007|-0.0773754
0.45|4.80009|2.93745|-0.0480009
0.46|1.81464|2.98545|-0.0181464
0.47|-1.18895|3.00359|0.0118895
0.48|-4.18065|2.9917|0.0418065
0.49|-7.13055|2.9499|0.0713055
0.5|-10.0091|2.87859|0.100091
0.51|-12.7876|2.7785|0.127876
0.52|-15.4383|2.65062|0.154383
0.53|-17.9345|2.49624|0.179345
0.54|-20.2514|2.3169|0.202514
0.55|-22.3658|2.11438|0.223658
0.56|-24.2565|1.89072|0.242565
0.57|-25.9047|1.64816|0.259047
0.58|-27.2938|1.38911|0.272938
0.59|-28.41|1.11617|0.2841
0.6|-29.242|0.832075|0.29242
0.61|-29.7817|0.539655|0.297817
0.62|-30.0235|0.241838|0.300235
0.63|-29.9651|-0.0583973|0.299651
0.64|-29.6071|-0.358049|0.296071
0.65|-28.953|-0.654119|0.28953
0.66|-28.0093|-0.943649|0.280093
0.67|-26.7856|-1.22374|0.267856
0.68|-25.294|-1.4916|0.25294
0.69|-23.5494|-1.74454|0.235494
0.7|-21.5694|-1.98003|0.215694
0.71|-19.3737|-2.19573|0.193737
0.72|-16.9842|-2.38946|0.169842
0.73|-14.4249|-2.55931|0.144249
0.74|-11.7214|-2.70355|0.117214
0.75|-8.90059|-2.82077|0.0890059
0.76|-5.99081|-2.90977|0.0599081
0.77|-3.02113|-2.96968|0.0302113
0.78|-0.02124|-2.99989|0.0002124
0.79|2.97887|-3.00011|-0.0297887
0.8|5.94918|-2.97032|-0.0594918
0.81|8.86001|-2.91082|-0.0886001
0.82|11.6822|-2.82222|-0.116822
0.83|14.3876|-2.7054|-0.143876
0.84|16.9492|-2.56153|-0.169492
0.85|19.3412|-2.39203|-0.193412
0.86|21.5398|-2.19862|-0.215398
0.87|23.523|-1.98322|-0.23523
0.88|25.271|-1.74799|-0.25271
0.89|26.7663|-1.49528|-0.267663
0.9|27.9939|-1.22762|-0.279939
0.91|28.9416|-0.947681|-0.289416
0.92|29.5999|-0.658265|-0.295999
0.93|29.9622|-0.362266|-0.299622
0.94|30.0248|-0.0626445|-0.300248
0.95|29.7872|0.237604|-0.297872
0.96|29.2517|0.535475|-0.292517
0.97|28.4237|0.827993|-0.284237
0.98|27.3115|1.11223|-0.273115
0.99|25.9262|1.38534|-0.259262
1|24.2815|1.64461|-0.242815
1.01|22.3941|1.88742|-0.223941
1.02|20.2828|2.11136|-0.202828
1.03|17.9686|2.31419|-0.179686
1.04|15.4747|2.49388|-0.154747
1.05|12.8261|2.64862|-0.128261
1.06|10.0492|2.77688|-0.100492
1.07|7.17181|2.87738|-0.0717181
1.08|4.22272|2.94909|-0.0422272
1.09|1.23139|2.99132|-0.0123139
1.1|-1.77224|3.00364|0.0177224
1.11|-4.75815|2.98591|0.0475815
1.12|-7.69648|2.93833|0.0769648
1.13|-10.5579|2.86137|0.105579
1.14|-13.3136|2.75579|0.133136
1.15|-15.9363|2.62265|0.159363
1.16|-18.3996|2.46329|0.183996
1.17|-20.6789|2.27929|0.206789
1.18|-22.7514|2.0725|0.227514
1.19|-24.5964|1.84499|0.245964
1.2|-26.1954|1.59903|0.261954
1.21|-27.5325|1.33707|0.275325
1.22|-28.5942|1.06175|0.285942
1.23|-29.37|0.775806|0.2937
1.24|-29.8521|0.482106|0.298521
1.25|-30.0357|0.183585|0.300357
1.26|-29.9189|-0.116773|0.299189
1.27|-29.503|-0.415962|0.29503
1.28|-28.792|-0.710992|0.28792
1.29|-27.7931|-0.998911|0.277931
1.3|-26.5162|-1.27684|0.265162
1.31|-24.9742|-1.542|0.249742
1.32|-23.1825|-1.79175|0.231825
1.33|-21.1589|-2.02357|0.211589
1.34|-18.9237|-2.23516|0.189237
1.35|-16.4993|-2.4244|0.164993
